Age,Job,Marital,Education,Default,Housing,Loan,Contact,Month,Day of the week,Call Duration,Campaign,Pdays,Previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
59,Technician,Married,Unknown,No,Yes,No,Telephone,May,Mon,93,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
39,Self-Employed,Married,Basic 9Y,Unknown,No,No,Telephone,May,Mon,233,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
54,Technician,Single,University Degree,Unknown,No,No,Telephone,May,Mon,255,2,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
55,Unknown,Married,University Degree,Unknown,Unknown,Unknown,Telephone,May,Mon,362,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
46,Admin,Married,Unknown,No,No,No,Telephone,May,Mon,348,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
59,Technician,Married,Unknown,No,Yes,No,Telephone,May,Mon,386,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
49,Blue-Collar,Married,Unknown,No,No,No,Telephone,May,Mon,73,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
54,Management,Married,Basic 4Y,Unknown,Yes,No,Telephone,May,Mon,230,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
54,Blue-Collar,Divorced,Basic 4Y,No,No,No,Telephone,May,Mon,208,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
55,Unknown,Married,Basic 4Y,Unknown,Yes,No,Telephone,May,Mon,336,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
34,Services,Married,High School,No,No,No,Telephone,May,Mon,365,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
52,Technician,Married,Basic 9Y,No,Yes,No,Telephone,May,Mon,1666,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
41,Admin,Married,University Degree,No,Yes,No,Telephone,May,Mon,577,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
56,Technician,Married,Basic 4Y,No,Yes,No,Telephone,May,Mon,137,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
58,Management,Unknown,University Degree,No,Yes,No,Telephone,May,Mon,366,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
32,Entrepreneur,Married,High School,No,Yes,No,Telephone,May,Mon,314,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
38,Admin,Single,Professional Course,No,No,No,Telephone,May,Mon,160,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
57,Admin,Married,University Degree,No,No,Yes,Telephone,May,Mon,212,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
44,Admin,Married,University Degree,Unknown,Yes,No,Telephone,May,Mon,188,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
42,Technician,Single,Professional Course,Unknown,No,No,Telephone,May,Mon,22,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
57,Admin,Married,University Degree,No,Yes,Yes,Telephone,May,Mon,616,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
40,Blue-Collar,Married,Basic 9Y,No,No,Yes,Telephone,May,Mon,178,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
35,Admin,Married,University Degree,No,Yes,No,Telephone,May,Mon,355,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
45,Blue-Collar,Married,Basic 9Y,No,Yes,No,Telephone,May,Mon,225,2,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
54,Admin,Married,High School,No,No,No,Telephone,May,Mon,160,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
39,Housemaid,Married,Basic 4Y,No,No,Yes,Telephone,May,Mon,266,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
60,Admin,Married,High School,No,No,No,Telephone,May,Mon,253,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
53,Admin,Single,Professional Course,No,No,No,Telephone,May,Mon,179,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
55,Blue-Collar,Married,Basic 4Y,Unknown,No,No,Telephone,May,Mon,269,2,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
55,Technician,Married,Professional Course,Unknown,Yes,No,Telephone,May,Mon,135,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
50,Management,Married,University Degree,Unknown,No,Yes,Telephone,May,Mon,161,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
45,Services,Married,High School,Unknown,Yes,No,Telephone,May,Mon,787,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
55,Unemployed,Married,Professional Course,Unknown,Yes,Yes,Telephone,May,Mon,145,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
25,Technician,Single,University Degree,No,Yes,No,Telephone,May,Mon,174,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
47,Entrepreneur,Married,University Degree,Unknown,No,No,Telephone,May,Mon,449,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
51,Blue-Collar,Married,Basic 9Y,No,Yes,No,Telephone,May,Mon,812,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
42,Blue-Collar,Married,Basic 6Y,Unknown,Yes,No,Telephone,May,Mon,164,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
42,Blue-Collar,Married,Basic 6Y,Unknown,No,No,Telephone,May,Mon,366,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
48,Admin,Married,High School,No,No,No,Telephone,May,Mon,357,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
37,Admin,Married,University Degree,No,No,No,Telephone,May,Mon,232,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
44,Blue-Collar,Single,Basic 9Y,No,Yes,No,Telephone,May,Mon,91,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
33,Admin,Married,Unknown,No,Yes,No,Telephone,May,Mon,273,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
56,Admin,Married,Basic 9Y,No,Yes,No,Telephone,May,Mon,158,2,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
44,Blue-Collar,Single,Basic 4Y,Unknown,Yes,Yes,Telephone,May,Mon,177,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
41,Management,Married,Basic 6Y,No,No,No,Telephone,May,Mon,200,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
44,Management,Divorced,University Degree,No,Yes,No,Telephone,May,Mon,172,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
47,Admin,Married,University Degree,Unknown,Yes,No,Telephone,May,Mon,176,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
57,Unknown,Married,Unknown,Unknown,No,No,Telephone,May,Mon,211,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
37,Admin,Married,University Degree,Unknown,Yes,No,Telephone,May,Mon,214,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
41,Blue-Collar,Divorced,Basic 4Y,Unknown,Yes,No,Telephone,May,Mon,1575,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,Yes
55,Technician,Married,University Degree,No,No,No,Telephone,May,Mon,349,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
33,Services,Married,High School,Unknown,Yes,No,Telephone,May,Mon,337,2,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
55,Management,Married,Unknown,Unknown,Yes,No,Telephone,May,Mon,272,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
42,Blue-Collar,Married,Basic 9Y,Unknown,No,No,Telephone,May,Mon,208,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
50,Blue-Collar,Married,Basic 4Y,Unknown,Yes,No,Telephone,May,Mon,193,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
51,Blue-Collar,Married,Basic 4Y,Unknown,Unknown,Unknown,Telephone,May,Mon,212,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
38,Admin,Married,High School,Unknown,No,No,Telephone,May,Mon,165,2,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
49,Entrepreneur,Married,University Degree,Unknown,Yes,No,Telephone,May,Mon,1042,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,Yes
38,Technician,Single,University Degree,No,No,Yes,Telephone,May,Mon,20,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
31,Admin,Divorced,High School,No,No,No,Telephone,May,Mon,246,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
41,Management,Married,Basic 6Y,No,No,No,Telephone,May,Mon,529,2,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
39,Admin,Married,University Degree,No,Yes,Yes,Telephone,May,Mon,192,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
49,Technician,Married,Basic 9Y,No,No,No,Telephone,May,Mon,1467,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,Yes
34,Admin,Married,High School,No,Yes,No,Telephone,May,Mon,188,2,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
35,Admin,Married,University Degree,No,Yes,No,Telephone,May,Mon,180,2,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
57,Unknown,Married,Unknown,Unknown,Yes,No,Telephone,May,Mon,48,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
60,Admin,Married,Unknown,Unknown,No,Yes,Telephone,May,Mon,213,2,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
33,Unemployed,Married,Basic 9Y,No,No,No,Telephone,May,Mon,545,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
42,Blue-Collar,Married,Basic 6Y,No,No,Yes,Telephone,May,Mon,583,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
45,Services,Married,Professional Course,No,Yes,No,Telephone,May,Mon,221,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
42,Management,Married,University Degree,No,No,No,Telephone,May,Mon,426,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
53,Admin,Divorced,University Degree,Unknown,No,No,Telephone,May,Mon,287,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
37,Technician,Single,Professional Course,No,No,No,Telephone,May,Mon,197,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
44,Blue-Collar,Married,Basic 6Y,No,No,No,Telephone,May,Mon,257,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
54,Services,Married,Unknown,No,Yes,No,Telephone,May,Mon,229,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
49,Blue-Collar,Married,Basic 4Y,No,No,No,Telephone,May,Mon,55,3,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
54,Services,Married,Unknown,No,No,No,Telephone,May,Mon,400,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
52,Admin,Divorced,University Degree,No,No,No,Telephone,May,Mon,197,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
52,Admin,Divorced,University Degree,No,No,No,Telephone,May,Mon,190,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
43,Services,Single,High School,Unknown,No,No,Telephone,May,Mon,21,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
34,Housemaid,Married,Basic 6Y,No,Yes,No,Telephone,May,Mon,300,2,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
35,Admin,Married,High School,No,Yes,No,Telephone,May,Mon,123,2,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
42,Entrepreneur,Married,Unknown,Unknown,Yes,No,Telephone,May,Mon,293,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
43,Technician,Married,Unknown,Unknown,Yes,Yes,Telephone,May,Mon,325,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
60,Retired,Divorced,University Degree,Unknown,No,No,Telephone,May,Mon,514,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
58,Unemployed,Married,Basic 4Y,Unknown,No,No,Telephone,May,Mon,849,2,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
35,Services,Divorced,High School,No,Yes,No,Telephone,May,Mon,194,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
55,Blue-Collar,Married,Basic 9Y,Unknown,Yes,No,Telephone,May,Mon,212,2,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
37,Management,Married,University Degree,No,No,No,Telephone,May,Mon,337,2,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
36,Blue-Collar,Married,High School,No,No,No,Telephone,May,Mon,286,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
52,Admin,Divorced,University Degree,No,No,No,Telephone,May,Mon,247,2,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
57,Blue-Collar,Divorced,Unknown,Unknown,Yes,No,Telephone,May,Mon,518,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
56,Admin,Married,Unknown,No,Yes,No,Telephone,May,Mon,364,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
48,Blue-Collar,Divorced,Basic 4Y,Unknown,Yes,No,Telephone,May,Mon,178,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
40,Blue-Collar,Married,High School,Unknown,Yes,No,Telephone,May,Mon,98,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
49,Blue-Collar,Divorced,High School,No,No,No,Telephone,May,Mon,439,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
41,Services,Married,High School,No,No,No,Telephone,May,Mon,139,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
45,Technician,Married,High School,No,Yes,No,Telephone,May,Mon,79,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
32,Admin,Married,University Degree,No,Yes,Yes,Telephone,May,Mon,175,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
42,Admin,Married,University Degree,No,No,Yes,Telephone,May,Mon,262,2,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
50,Admin,Married,Basic 6Y,No,No,No,Telephone,May,Mon,61,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
31,Technician,Divorced,Professional Course,No,Yes,Yes,Telephone,May,Mon,78,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
56,Retired,Married,Basic 4Y,No,Yes,No,Telephone,May,Mon,102,2,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
41,Technician,Married,Professional Course,Unknown,Yes,No,Telephone,May,Mon,579,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,Yes
37,Blue-Collar,Married,Basic 6Y,No,Yes,Yes,Telephone,May,Mon,143,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
41,Technician,Married,Professional Course,Unknown,No,No,Telephone,May,Mon,677,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
35,Blue-Collar,Married,Unknown,No,Yes,No,Telephone,May,Mon,267,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
37,Blue-Collar,Married,Basic 6Y,No,Yes,No,Telephone,May,Mon,345,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
52,Management,Married,University Degree,No,No,No,Telephone,May,Mon,185,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
39,Management,Divorced,University Degree,No,No,No,Telephone,May,Mon,207,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
39,Housemaid,Married,Basic 4Y,Unknown,No,No,Telephone,May,Mon,69,2,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
56,Blue-Collar,Married,Basic 4Y,Unknown,No,No,Telephone,May,Mon,100,2,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
34,Services,Married,High School,No,Yes,No,Telephone,May,Mon,125,2,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
45,Blue-Collar,Married,Basic 9Y,Unknown,Yes,No,Telephone,May,Mon,461,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,Yes
43,Unemployed,Single,University Degree,No,Yes,No,Telephone,May,Mon,240,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
56,Management,Married,Unknown,No,Yes,No,Telephone,May,Mon,70,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
39,Management,Married,University Degree,No,Yes,No,Telephone,May,Mon,193,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
53,Blue-Collar,Married,Basic 4Y,No,Yes,No,Telephone,May,Mon,136,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
38,Unknown,Divorced,High School,Unknown,Yes,No,Telephone,May,Mon,73,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
42,Blue-Collar,Married,Basic 4Y,Unknown,Yes,No,Telephone,May,Mon,528,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
42,Blue-Collar,Married,Basic 4Y,Unknown,No,No,Telephone,May,Mon,541,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
35,Admin,Single,High School,No,Yes,No,Telephone,May,Mon,338,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
40,Admin,Married,University Degree,Unknown,Yes,No,Telephone,May,Mon,163,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
51,Blue-Collar,Married,Basic 4Y,No,Yes,No,Telephone,May,Mon,87,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
60,Blue-Collar,Married,Basic 9Y,Unknown,No,No,Telephone,May,Mon,301,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
56,Entrepreneur,Married,Unknown,Unknown,Yes,No,Telephone,May,Mon,46,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
39,Services,Divorced,High School,Unknown,Yes,No,Telephone,May,Mon,52,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
56,Entrepreneur,Married,Unknown,Unknown,No,No,Telephone,May,Mon,204,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
40,Blue-Collar,Married,Unknown,No,Yes,Yes,Telephone,May,Mon,155,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
36,Blue-Collar,Married,Basic 9Y,No,Yes,Yes,Telephone,May,Mon,98,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
51,Blue-Collar,Married,Unknown,Unknown,Yes,No,Telephone,May,Mon,71,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
51,Blue-Collar,Married,Unknown,Unknown,No,No,Telephone,May,Mon,243,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
43,Technician,Single,Professional Course,No,Yes,No,Telephone,May,Mon,186,2,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
59,Services,Married,High School,No,No,No,Telephone,May,Mon,579,2,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
24,Management,Single,University Degree,No,Yes,No,Telephone,May,Mon,165,2,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
37,Blue-Collar,Single,Basic 9Y,Unknown,Yes,Yes,Telephone,May,Mon,163,2,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
40,Blue-Collar,Married,Basic 9Y,Unknown,No,No,Telephone,May,Mon,46,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
42,Blue-Collar,Married,Basic 9Y,Unknown,No,No,Telephone,May,Mon,559,3,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
39,Services,Divorced,High School,Unknown,No,No,Telephone,May,Mon,2033,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
37,Entrepreneur,Married,Basic 6Y,No,No,No,Telephone,May,Mon,85,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
38,Services,Married,High School,No,Yes,Yes,Telephone,May,Mon,506,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
56,Admin,Divorced,Unknown,Unknown,No,No,Telephone,May,Mon,114,2,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
40,Blue-Collar,Married,Unknown,No,No,No,Telephone,May,Mon,114,2,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
54,Management,Divorced,University Degree,No,Yes,No,Telephone,May,Mon,843,2,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
43,Blue-Collar,Married,High School,Unknown,No,Yes,Telephone,May,Mon,181,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
36,Services,Married,High School,Unknown,No,No,Telephone,May,Mon,427,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
45,Technician,Married,University Degree,No,Yes,Yes,Telephone,May,Mon,292,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
42,Admin,Single,University Degree,Unknown,No,No,Telephone,May,Mon,192,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
43,Services,Married,High School,No,No,No,Telephone,May,Mon,93,3,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
46,Management,Married,Basic 9Y,No,No,No,Telephone,May,Mon,128,2,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
44,Services,Married,High School,No,Yes,Yes,Telephone,May,Mon,107,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
51,Admin,Single,Basic 6Y,No,No,No,Telephone,May,Mon,303,2,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
28,Services,Married,High School,No,Yes,No,Telephone,May,Mon,81,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
37,Blue-Collar,Married,Basic 9Y,No,No,No,Telephone,May,Mon,270,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
34,Technician,Married,High School,No,No,No,Telephone,May,Mon,228,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
46,Blue-Collar,Married,Basic 6Y,Unknown,Yes,No,Telephone,May,Mon,240,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
42,Blue-Collar,Married,Basic 9Y,No,Yes,Yes,Telephone,May,Mon,673,2,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,Yes
36,Admin,Married,University Degree,No,Yes,No,Telephone,May,Mon,233,3,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
54,Blue-Collar,Married,Basic 4Y,Unknown,No,No,Telephone,May,Mon,102,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
57,Management,Married,University Degree,No,No,No,Telephone,May,Mon,461,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
51,Technician,Married,Basic 6Y,Unknown,No,No,Telephone,May,Mon,250,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
54,Retired,Married,High School,Unknown,No,No,Telephone,May,Mon,130,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
49,Blue-Collar,Married,Basic 4Y,Unknown,No,No,Telephone,May,Mon,252,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
